chain,item,field,reason
pizza-hut-india,Margherita Pan Pizza (Personal),sugar_g,Source says ND (not detected; LOQ 1 g/100 g)
pizza-hut-india,Spicy Baked Chicken Wings (4 pc),sugar_g,Source says ND (not detected; LOQ 1 g/100 g)
pizza-hut-india,Cheezy Cheese Chicken Melt,sugar_g,Source says ND (not detected; LOQ 1 g/100 g)
pizza-hut-india,Double Chicken Delight Pan Pizza (Personal),(source),"Name appears twice (280 g/4 slices and 550 g/6 slices, likely a mislabeled Medium); used 280 g/4 slices"
starbucks-india,Latte (Grande),fiber_g,Source lists fibre as NA
starbucks-india,Cold Brew Black with Chocolate Protein Foam (Grande),(all),Guide p114: 188 kcal/21.6 g protein; p133: 188/21.56 with small differences; 'Lab test data' p142: 369 kcal/13.1 g protein. Used p114
starbucks-india,Cold Coffee with Vanilla Protein Foam (Grande),(all),Guide p132: 367 kcal/23.11 g protein; 'Lab test data' p142: 639 kcal/32.3 g protein. Used p132
starbucks-india,Java Chip Frappuccino with Chocolate Protein Foam (Grande),(all),Guide p133: 419 kcal/25.41 g protein; 'Lab test data' p142: 397.3 kcal/26.1 g protein. Used p133
starbucks-india,Brown Sugar Iced Shaken Espresso with Vanilla Protein Foam (Grande),(all),Guide p132: 230 kcal/19.15 g protein; 'Lab test data' p141 has a different row (461 kcal/15 g). Used p132
taco-bell-india,(all items),fiber_g,Taco Bell India April 2026 sheet does not list fiber
taco-bell-india,Maxx Protein Rice Bowl (Non-Veg),sugar_g,Source says BLQ (below limit of quantification)
taco-bell-india,Maxx Protein Rice Bowl (Veg),sugar_g,Source says BLQ (below limit of quantification)
taco-bell-india,Banger Protein Salad (Chicken Steak),sugar_g,Source says BLQ (below limit of quantification)
taco-bell-india,Banger Protein Salad (Non-Veg),sugar_g,Source says BLQ (below limit of quantification)
taco-bell-india,Banger Protein Salad (Veg),sugar_g,Source says BLQ (below limit of quantification)
barista,(whole chain),official_nutrition_url,"Not built (2026-09-24): barista.co.in shows no nutrition and /menu is 404; Zomato listing only has '24g Protein' in 2 drink names, no calories. Only user-entered databases exist, which our rules don't allow."
chaayos,(whole chain),official_nutrition_url,"Not built (2026-09-24): chaayos.com has no cafe nutrition; cafes.chaayos.com is not found; Zomato listing names protein items (ProChai, Protein Power Paneer Chilla) but gives no numbers. Only user-entered databases exist, which our rules don't allow."
wasabi,(all items),fiber_g,Wasabi nutrition guide has no fibre column
costa-coffee,"High Protein Latte (Medium, semi-skimmed milk)",fiber_g,Costa drinks table has no fibre column
costa-coffee,"High Protein Iced Latte (Medium, semi-skimmed milk)",fiber_g,Costa drinks table has no fibre column
rola-wala,Keralan Chickpea Spice Bowl (Rice),protein_g,official chart value (30 g) looks inconsistent with Naan Roll (15 g); possible source error
rola-wala,Keralan Chickpea Spice Bowl (Cauli),protein_g,official chart value (35 g) looks inconsistent with Naan Roll (15 g); possible source error
tortilla,(all items),sodium_mg,"Tortilla lists salt rounded to whole grams, too coarse to convert to sodium (0 g salt would show 0 mg). Left null."
nandos,(whole chain),official_nutrition_url,Not built (2026-09-24): nandos.co.uk blocks automated access (Imperva). Nando's publishes nutrition on its menu pages; fill in by hand from a browser.
dutch-bros,"Cookie Butter Protein Latte (Iced, Medium)",fiber_g,"Official guide lists fiber as ""<1"" g; left null"
firehouse-subs,Chicken 'n' Cheddar Rancher (Medium),sugar_g,Official firehousesubs.com menu data has no sugar value for this item
dunkin,(whole chain),official_nutrition_url,Not built (2026-09-24): dunkindonuts.com and its nutrition PDF are only available in the US (blocked from this machine). Rebuild from a US connection.
pizza-hut,(whole chain),official_nutrition_url,Not built (2026-09-24): pizzahut.com timed out or redirected to India from this machine. Rebuild from a US connection.
culvers,"Chicken Tenders, Original - 4 Piece",sugar_g,"source lists ""<1"" (not an exact number)"
burger-king,10 Pc. Chicken Nuggets,fiber_g,"Official data lists 11 g fiber, which looks like a source error for nuggets; left null. Please confirm."
burger-king,(all items),(source),Used nutritionWithModifiers (full default build) from Nutrition Explorer data; page did not render from India to confirm on screen
whataburger,(all items),(source),"Used the current ordering site (store #367, default builds). The site's 'Nutritional Information' link still points to a March 2021 PDF whose values differ slightly for many items."
sonic,(whole chain),official_nutrition_url,Not built (2026-09-24): sonicdrivein.com is Cloudflare-blocked from this machine; old PDFs have an expired certificate. Rebuild from a US connection.
five-guys,(whole chain),official_nutrition_url,"Not built (2026-09-24): official guide lists only components (patty, bun, toppings), not whole items; summing them would be an estimate."
kfc-india,Boneless Chicken Strips (3 pc),fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Boneless Chicken Strips (3 pc),sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Boneless Chicken Strips (3 pc),sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Popcorn Chicken (Large),fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Popcorn Chicken (Large),sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Popcorn Chicken (Large),sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Popcorn Chicken Rice Bowl,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Popcorn Chicken Rice Bowl,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Popcorn Chicken Rice Bowl,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Classic Chicken Roll,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Classic Chicken Roll,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Classic Chicken Roll,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Spicy Chicken Krisper,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Spicy Chicken Krisper,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Spicy Chicken Krisper,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Chicken Longer,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Chicken Longer,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Chicken Longer,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Egg Burger,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Egg Burger,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Egg Burger,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Veg Zinger Burger,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Veg Zinger Burger,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Veg Zinger Burger,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Classic Veg Krisper,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Classic Veg Krisper,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Classic Veg Krisper,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Spicy Veg Krisper,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Spicy Veg Krisper,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Spicy Veg Krisper,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Chatpata Channa Burger,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Chatpata Channa Burger,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Chatpata Channa Burger,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Veg Roll,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Veg Roll,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Veg Roll,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Veg Rice Bowl,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Veg Rice Bowl,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Veg Rice Bowl,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Fries (Medium),fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Fries (Medium),sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Fries (Medium),sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Fries (Large),fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Fries (Large),sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Fries (Large),sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Choco Lava Cake,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Choco Lava Cake,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
kfc-india,Choco Lava Cake,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/kfc), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,McSpicy Chicken Burger,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,McSpicy Chicken Burger,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,McSpicy Chicken Burger,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,McSpicy Chicken Wrap,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,McSpicy Chicken Wrap,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,McSpicy Chicken Wrap,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Chicken Maharaja Mac,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Chicken Maharaja Mac,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Chicken Maharaja Mac,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Chicken Nuggets (4 pc),fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Chicken Nuggets (4 pc),sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Chicken Nuggets (4 pc),sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Chicken Nuggets (9 pc),fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Chicken Nuggets (9 pc),sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Chicken Nuggets (9 pc),sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Chicken Nuggets (20 pc),fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Chicken Nuggets (20 pc),sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Chicken Nuggets (20 pc),sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Chicken Surprise Burger,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Chicken Surprise Burger,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Chicken Surprise Burger,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Veg Surprise Burger,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Veg Surprise Burger,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Veg Surprise Burger,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Crispy Veggie Burger,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Crispy Veggie Burger,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Crispy Veggie Burger,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Pizza McPuff,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Pizza McPuff,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Pizza McPuff,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Hash Brown,fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Hash Brown,sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Hash Brown,sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Fries (Regular),fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Fries (Regular),sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Fries (Regular),sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Fries (Large),fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Fries (Large),sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,Fries (Large),sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,McFlurry Oreo (Regular),fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,McFlurry Oreo (Regular),sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,McFlurry Oreo (Regular),sodium_mg,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,McFlurry Oreo (Medium),fiber_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
mcdonalds-india,McFlurry Oreo (Medium),sugar_g,"Added from FatSecret India (https://www.fatsecret.co.in/calories-nutrition/mcdonalds), which lists calories, protein, carbs, and fat only. Not in the chain's official data we checked. Verify all values against the chain's own nutrition info."
